Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
Everytown for Gun Safety Action Fund,10/01/2019 to 12/31/2019,C4,12/31/19,"Howard, Sara",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,10067.0,Staff time; 100 hours; 10/01/2019 - 12/31/2019; related to Ballot Measure LR 130 strategy planning,General,,,
Everytown for Gun Safety Action Fund,10/01/2019 to 12/31/2019,C4,12/01/19,M+R Strategic Services,,,,1101 Connecticut Ave. NW 7th Floor,Washington DC,DC,20036,,All Other Expenditures,6750.0,Consulting services related to LR 130,General,,,
Everytown for Gun Safety Action Fund,10/01/2019 to 12/31/2019,C4,12/02/19,M+R Strategic Services,,,,1101 Connecticut Ave. NW 7th Floor,Washington DC,DC,20036,,All Other Expenditures,6750.0,Consulting services related to LR 130,General,,,
Everytown for Gun Safety Action Fund,10/01/2019 to 12/31/2019,C4,11/27/19,M+R Strategic Services,,,,1101 Connecticut Ave. NW 7th Floor,Washington DC,DC,20036,,All Other Expenditures,6750.0,Consulting services related to LR 130 ,General,,,
Everytown for Gun Safety Action Fund,07/29/2019 to 09/30/2019,C4,09/30/19,Everytown for Gun Safety Action Fund,,,,P.O. Box 4184,New York,NY,10163,,All Other Expenditures,7980.51,Staff time; 80 hours; 07/29/2019 - 09/30/2019; related to Ballot Measure LR 130 strategy planning,General,,,
Families For Public Safety,05/01/2020 to 05/25/2020,C6,05/18/20,Arena,,,,1260 Stringham Ave #360,Salt Lake City,UT,84106,,All Other Expenditures,1565.0,"Campaign Mailing and Postage 1,537 pieces",Primary,Mailing,"1,537",Vote for Special Mill Levy
Families For Public Safety,03/09/2020 to 03/31/2020,C6,03/25/20,"The State Bank of Townsend, A Division of Opportunity Bank of Montana",,,,400 Broadway,Townsend,MT,59644,,All Other Expenditures,20.4, Harland Checks--check/deposit order,Primary,,,
For Our Roads,06/02/2020 to 06/30/2020,C6,06/02/20,FaceBook,,,,"1 Hacker Way, v1 Hacker Way, Menlo Park",94025.,CA,94025,,All Other Expenditures,150.0,Advertising ,Primary,Facebook,Two Days,Vote for the Gas Tax - Missoulian Endorsement 
For Our Roads,06/02/2020 to 06/30/2020,C6,06/02/20,Facebook,,,,"1 Hacker Way , 1 Hacker Way, Menlo Park",94025.,CA,94025,,All Other Expenditures,350.0,Advertising ,Primary,Facebook,Three Days of Advertising ,Vote For the Gas Tax - Drop-off ballot
For Our Roads,06/02/2020 to 06/30/2020,C6,06/02/20,FaceBook,,,,"1 Hacker Way, v1 Hacker Way, Menlo Park",94025.,CA,94025,,All Other Expenditures,400.0,Boosted Advertisement ,Primary,Facebook,Four days of advertising,Vote for the Gas Tax - boosted Missoulian Editorial 
For Our Roads,06/02/2020 to 06/30/2020,C6,06/02/20,Facebook,,,,1 Hacker Way,Menlo,CA,94205,,All Other Expenditures,500.0,Advertising ,Primary,Facebook ,Four Days of Advertising ,Vote for the Gas Tax - Missoulian Editorial 
For Our Roads,06/02/2020 to 06/30/2020,C6,06/02/20,Facebook ,,,,1 Hacker Way ,Menlo Park,CA,94025,,All Other Expenditures,498.2,Facebook Advertising ,Primary,Facebook,Four days,Vote for the Gas Tax - voter turn-out message
For Our Roads,06/02/2020 to 06/30/2020,C6,06/02/20,Facebook ,,,,1 Hacker Way ,Menlo Park,CA,94025,,All Other Expenditures,87.0,Facebook Advertising ,Primary,Facebook ,Four Days of Advertising of Labor Endorsement,Labor Endorsement of Gas Tax
For Our Roads,06/02/2020 to 06/30/2020,C6,06/02/20,Facebook ,,,,,,,,,All Other Expenditures,234.54,Advertisement on Facebook - Vote For - Leverage of Federal Funds,Primary,Facebook,Four Days of Facebook Advertising ,Vote For the Gas Tax
For Our Roads,06/02/2020 to 06/30/2020,C6,06/15/20,United Way of Missoula County,,,,412 West Alder,Missoula,MT,59802,,All Other Expenditures,200.41,Donation of remaining campaign funds,Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/22/20,Access Marketing,,,,P.O. Box 913026,Denver,CO,80291,,All Other Expenditures,1200.0,Data file development for targeting of advertisements,Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/28/20,Facebook ,,,,1 Hacker Way ,Menlo Park,CA,94025,,All Other Expenditures,1150.0,Facebook Advertising ,Primary,Facebook,Advertising on 5/26/2020;5/27/2020,Vote For the Local Option Gas Tax
For Our Roads,05/01/2020 to 06/01/2020,C6,05/20/20,First Security Bank Missoula,,,,1704 Dearborn,Missoula,MT,59801,,All Other Expenditures,10.0,Wire transfer fee,Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/27/20,Missoula Current,,,,1926 34th Street,Missoula,MT,59801,,All Other Expenditures,180.0,Advertising,Primary,Banner advertisement on the home page. ,5/29/2020 to 6/2/2020,Vote For the 2-cent Gas Tax.
For Our Roads,05/01/2020 to 06/01/2020,C6,05/24/20,Missoulian ,,,,500 S Higgins Ave ,Missoula,MT,59801,,All Other Expenditures,1000.0,Advertising,Primary,Banner Advertisement on Home Page,Vote For the 2-cent Gas Tax.,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/20/20,Stones Phones,,,,41-750 Rancho Las Palmas Drive Suite E-3,Rancho Mirage,CA,92270,,All Other Expenditures,7400.0,Live GOTV Calls,Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/22/20,Stones' Phone - Savvy Communications ,,,,"41-750 Rancho Las Palmas Drive, Suite E-3",Rancho Mirage,CA,92270,,All Other Expenditures,909.0,"Text Message plus $300 set-up fee. 3,045 voters contacted.",Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/27/20,Stones' Phone - Savvy Communications ,,,,"41-750 Rancho Las Palmas Drive, Suite E-3",Rancho Mirage,CA,92270,,All Other Expenditures,877.8,"Text Messaging Services - 2,889 completed. $300 set-up fee. ",Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/14/20,Stones' Phones,,,,"41-750 Rancho Las Palmas Drive, Suite E-3",Rancho Mirage,CA,92270,,All Other Expenditures,824.66,"Auto-Call - Calls to 11,659 phones plus set-up costs. ",Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/19/20,Stones' Phones - Savvy Communications,,,,"41-750 Rancho Las Palmas Drive, Suite E-3",Rancho Mirage,CA,92270,,All Other Expenditures,1273.0,"Text Calls 4,865 completed plus $300 set-up fee. ",Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/20/20,"Tenacious Campaigns, LCC",,,,P.O. Box 8261,Missoula,MT,59807,,All Other Expenditures,5000.0,"$3,500 half retainer; 5.16.20220 $750 advertising cost Facebook and Instagram; $750 5.18.2020 advertising cost Facebook and Instagram.",Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/28/20,"Tenacious Campaigns, LCC ",,,,P.O. Box 8261,Missoula,MT,59807,,All Other Expenditures,1800.0,Reimbursement for Advertisements on Facebook and Instagram  5.21.2020 $900; and 5.24.2020 $900.,Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/06/20,"Tenacious Campaigns, LLC",,,,P.O. Box 8261,Missoula,MT,59807,,All Other Expenditures,3500.0,One Half of Consulting Fee,Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/15/20,"Tenacious Campaigns, LLC",,,,P.O. Box 8261,Missoula,MT,59807,,All Other Expenditures,1455.39,"Yard Signs $540; Website set-up - domain name, stock photo, $165.39; SmartVAN - voter file database $750.",Primary,,,
For Our Roads,05/01/2020 to 06/01/2020,C6,05/05/20,Treeline Creative,,,,712 7th Avenue West #8,Kalispell,MT,59901,,All Other Expenditures,1000.0,Logo Design Package ,Primary,,,
Gallatin Association of Realtors,09/26/2019 to 10/25/2019,C4,10/18/19,Access Marketing,,,,PO Box 913026,Denver,CO,80291,,All Other Expenditures,10999.52,Live phone and mailer for municipal candidate--one time fee,General,,,
Grant & Eisenhofer,06/03/2020 to 06/03/2020,C4,05/27/20,Treasure State Conservatives,,,,PO Box 16114,Missoula,MT,59808,,All Other Expenditures,5000.0,Contribution from Richard Schiffrin to Treasure State Conservatives,Primary,,,
Great Falls Public Schools,02/28/2020 to 05/05/2020,C6,04/28/20,Great Falls Public  Schools,,,,1100 4th St South,Great Falls,MT,59405,,All Other Expenditures,52.5,Printing of Brochures,General, Print brochures Levy information,200,Levy Fact sheet
Great Falls Public Schools,02/28/2020 to 05/05/2020,C6,03/13/20,Great falls Public Schools,,,,1100 4th street south ,Great Falls,MT,59405,,All Other Expenditures,74.08,,General,Brochure,250,Levy Fact Sheet
Great Falls Public Schools,02/28/2020 to 05/05/2020,C6,03/12/20,Great Falls Public Schools,,,,1100 4th street south,Great Falls,MT,59405,,All Other Expenditures,16.1,Levy facts Brochures,General,Print Brochure,50,Levy Facts Brochure
Great Schools Billings,04/24/2020 to 05/28/2020,C6,04/27/20,Allegra,,,,2620 Overland,Billings,MT,59102,,All Other Expenditures,3500.0,500 18x24 yard signs full color double sided w/ 10x13 yard stakes,General,yard signs,500 yard signs,Vote for Billings Public Schools mill levy
Great Schools Billings,03/11/2020 to 03/31/2020,C6,03/11/20,United States Postal Service,,,,2250 Grant Road,Billings,MT,59102,,All Other Expenditures,148.0,"P O Box rental for 12 months (+1 free month), ends april 2021",Primary,,,
Great Schools Billings,03/11/2020 to 03/31/2020,C6,03/20/20,Yellowstone County Elections Office,,,,P O Box 35002,Billings,MT,59107,,All Other Expenditures,25.0,List of Registered Voters in Yellowstone County,General,,,
Heenan & Cook,12/05/2019 to 12/31/2019,C4,12/05/19,Montana Trial Lawyers Association,,,,P.O. Box 838,Helena,MT,59624,,All Other Expenditures,7200.0,Contribution earmarked for Montana Law PAC,General,,,
Heenan & Cook,12/05/2019 to 12/31/2019,C4,12/18/19,Montana Trial Lawyers Association,,,,P.O. Box 838,Helena,MT,59624,,All Other Expenditures,3600.0,Contribution earmarked for Montana Law PAC,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,05/25/2020 to 06/25/2020,C4,06/04/20,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,235.52,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,05/25/2020 to 06/25/2020,C4,06/11/20,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,73.7,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,05/25/2020 to 06/25/2020,C4,06/04/20,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,235.52,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,04/26/2020 to 05/24/2020,C4,05/08/20,Montana Freedom Fund,,,,2518 Sebonac Road,Hoover,AL,35226,,All Other Expenditures,10000.0,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,04/26/2020 to 05/24/2020,C4,05/14/20,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,73.7,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,04/26/2020 to 05/24/2020,C4,05/14/20,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,147.44,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,03/26/2020 to 04/25/2020,C4,04/23/20,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,17.83,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,03/26/2020 to 04/25/2020,C4,04/23/20,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,17.83,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,03/26/2020 to 04/25/2020,C4,04/09/20,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,100.0,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,01/01/2020 to 03/25/2020,C4,02/27/20,AFL-CIO,,,,810 Hialeah Ct.,Helena,MT,59601,,All Other Expenditures,10000.0,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,01/01/2020 to 03/25/2020,C4,01/23/20,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,12.19,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,01/01/2020 to 03/25/2020,C4,02/20/20,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,153.4,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,01/01/2020 to 03/25/2020,C4,01/23/20,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,12.19,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,01/01/2020 to 03/25/2020,C4,01/03/20,Montana Professional Fire Fighters PAC,,,,"1112 7th St So, Ste 201",Great Falls,MT,59405,,All Other Expenditures,181.2,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,09/06/2019 to 12/31/2019,C4,10/24/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,420.19,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,09/06/2019 to 12/31/2019,C4,11/14/19,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,15.23,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,09/06/2019 to 12/31/2019,C4,09/30/19,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,15.73,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,09/06/2019 to 12/31/2019,C4,11/14/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,92.93,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,09/06/2019 to 12/31/2019,C4,10/24/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,420.19,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,08/22/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,105.05,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,08/15/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,105.4,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,07/18/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,316.21,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,05/16/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,210.81,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,05/09/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,210.81,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,04/16/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,210.82,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,03/28/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,121.52,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,02/06/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,121.52,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,01/25/19,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,364.55,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,11/30/18,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,870.81,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,01/11/19,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,12.19,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,11/30/18,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,15.23,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,08/08/19,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,12.19,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,07/11/19,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,6.1,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,05/23/19,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,6.08,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,04/16/19,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,15.24,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,02/21/19,Central Valley Firefighters PAC,,,,PO Box 445,Belgrade,MT,59714,,All Other Expenditures,6.09,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,08/29/19,Montana Democratic Party MDLCC,,,,303 N. Ewing Street,Helena,MT,59601,,All Other Expenditures,1000.0,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,02/06/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,121.52,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,01/25/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,364.55,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,01/11/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,95.89,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,11/30/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,959.04,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,04/25/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,226.05,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,03/28/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,199.22,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,03/01/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,77.7,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,02/21/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,89.79,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,05/23/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,6.08,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,05/16/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,288.51,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,05/09/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,210.81,Contribtuion,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,08/22/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,105.05,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,08/15/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,105.4,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,08/08/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,167.59,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,07/18/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,316.21,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,11/22/2018 to 09/05/2019,C4,07/11/19,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,6.1,Contribution,Primary,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,10/18/2018 to 10/27/2018,C4,10/25/18,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,124.3,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,10/18/2018 to 10/27/2018,C4,10/25/18,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,248.6,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,10/18/2018 to 10/27/2018,C4,10/25/18,Billings Firefighters Local 521 PAC,,,,530 South 27th St.,Billings,MT,59101,,All Other Expenditures,251.92,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,10/18/2018 to 10/27/2018,C4,10/25/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,73.0,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,10/18/2018 to 10/27/2018,C4,10/25/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,124.3,Contribution,General,,,
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC,10/18/2018 to 10/27/2018,C4,10/25/18,Montana Professional Fire Fighters PAC,,,,"1112 7th Street S, Ste 201",Great Falls,MT,59405,,All Other Expenditures,109.5,Contribution,General,,,
