committee,cers_id,reports,type,amended_date,last_report,city,state,officer_1,officer_2,positions,2020_expenditures,num_2020_expenditures,2020_contributions,num_2020_contributions,cash_on_hand
Build Montana PAC (Affiliate of the MT AFL-CIO),2682,22,Independent,03/26/20,NA,Helena,MT,"Ekblad, Alan D","Nisbet, Lorri","Support: HD 60 - Laurie Bishop, Other: Re-elect Governor Bullock, Oppose: Lola Sheldon-Galloway for HD 22, Support: HD 22 Al Ferderer, Other: Elect Melissa Romano, Other: Elect Jesse Laslovich, Other: Oppose Initiative 181",0.0,0,0.0,0,468.94
Clark Fork Valley Hospital Incidental Committee,7541,1,Incidental,09/13/18,NA,Plains,MT,"Neiman, Carla A",,Support: I 185,0.0,0,0.0,0,-50000.0
Republican State Leadership Committee_Judicial Fairness Initiative Montana PAC,3447,24,Independent,01/29/20,NA,Washington,DC,"Usher, Barry","Goede, Staci","Other: To make independent expenditures in the State of Montana, Oppose: Dirk Sandefur - Supreme Court Justice, Support: Kristen Juras - Supreme  Court Justice",88.53,6,0.0,0,0.0
Lewis & Clark County Republican Women,286,23,Political Party,05/03/16,NA,Helena,MT,"Warren, Danette",,Support: Promote Republican ideals,23346.75,77,24087.5,233,36287.68
Great Falls Development Authority Incidental Committee for Kids Education Yes,7941,1,Incidental,02/27/19,NA,Great Falls,MT,"Doney, Brett",,Support: Kids Education Yes,3500.0,3,0.0,0,-3500.0
Hill County Republican Central Committee,5597,1,Political Party,12/05/16,NA,Havre,MT,"Salerno, Barbara","Rader, Gail","Support: Stephanie Hess for HD28, Support: Bruce Meyers for SD 16",0.0,0,0.0,0,9829.54
Montanans for Citizen Voting,7111,3,Ballot Issue,06/24/18,NA,Helena,MT,"Gallus, Chris J","Wenetta, Katelynn",Support: CI-117,0.0,0,0.0,0,0.0
Montana Prosperity PAC,2125,26,Independent,01/02/19,NA,Helena,MT,"O'Hair, Todd",N/A,"Support: Bishop-HD60, Schreiner-HD26, Fern-HD5, Hamlett-HD23, Morigeau-HD95 for state legislature, Support: White-HD64, A. Hertz-HD96, Anderson-HD20, Buttrey-HD21, Hoven-SD13, Esp-SD30, Kary-SD23, Dooling-HD70, Hopkins-HD92, Bogner-SD19 for state legislature, Support: Support pro-business candidates for office, Support: Connell-SD43, Garner-HD7, Buttrey-HD21, Loge-HD14, Grubbs-HD68, Fitzgerald-HD17, and McKamey-HD19 for state legislature",50000.0,10,28952.98,12,5832.5
Lake County Democrats,279,7,Political Party,03/25/20,NA,Polson,MT,"Ladner, Jackie",,Support: The purpose of the Lake County Democratic Central Cmte is t identify candidates for local and state elections for the Democratic Party and to help elect them to office.,3165.74,29,-1216.0,14,2029.98
Montana Leadership Committee,7504,4,Independent,01/17/19,NA,Washington,DC,"Collinson, Eleanor",,,0.0,0,0.0,0,0.0
Off the Wall Advertising LLC,7172,1,Incidental,05/03/18,NA,Heelna,MT,"Bachmeier, Chad J.",,Support: Support Rob Cook for PSC 1,0.0,0,0.0,0,-3180.0
MEA MFT 4476/ Friends of Three Forks,5199,1,Incidental,05/26/16,NA,Three Forks,MT,"Corie, Perrin",,,0.0,0,0.0,0,-120.27
Safe Montana,4796,6,Ballot Issue,10/21/16,NA,Billings,MT,"Zabawa, Stephen","Jepperson, Greg","Support: I-176 Safe Montana Ballot Initaitive, Oppose: I-182",0.0,0,0.0,0,8664.95
[Company Name] Incidental Committee,7262,1,Incidental,05/10/18,NA,Helena,MT,"Smith, Jane",,Other: contribution to MHA PAC,0.0,0,0.0,0,-9500.0
Liberty County Democratic Central Cmte.,287,3,Political Party,12/31/19,NA,Chester,MT,"Nelson, Doris H.",,,0.0,0,0.0,0,391.52
Montana Mining Association,7304,12,Incidental,05/29/18,NA,Whitehall,MT,"Johnson, Tamara J",,Oppose: Initiative 186,1081.0,2,0.0,0,314868.69
Park County Emergency Services Mill Levy Committee,7026,3,Incidental,05/24/18,NA,Livingston,MT,"Strickland, Erica W",,Other: Provide public awareness and public education regarding ballot issue,0.0,0,0.0,0,-7530.36
YES for Responsible Mining,6951,9,Ballot Issue,10/09/18,NA,Great Falls,MT,"Evenson, Kirk D.",,,0.0,0,0.0,0,1869.51
Montana Water Well Drillers PAC,5011,19,Independent,05/13/19,NA,Vaughn,MT,"Wiggers, Ronda",,Support: Support candidates that support MWDA positions on water law,940.39,1,6938.8,18,6086.52
Ash Grove Cement Company,7722,1,Incidental,10/22/18,NA,Overland Park,KS,"Clark, Jacqueline",,Other: To give funds to the Montana Business PAC to support pro-business candidates,0.0,0,0.0,0,-5000.0
Billings Education Assn. PAC,362,19,Independent,01/21/19,NA,Billings,MT,"Mountains, Teresa","Schillreff, Rachel","Support: Karen Beiser/c/o Renee Coppock, Billings Women's March, Support: Shoots Veis for HD 51, Support: Yellowstone County Democratic Central Committee, Support: Dusty Deering - HD 52, Support: Ming Cabrera - HD 44, Support: Yellowstone County Democratic Central Committee, Support: Jessica Karjala for HD 48, Support: Angie Buckley for HD 46, Support: Kathy Kelker HD 47, Support: Jessica Karjala - HD 48, Support: Ken Crouch for HD45, Support: Ben McKee, Support: Janna Lind - HD 56, Support: Virginia Court - HD 50, Support: Melissa Romano State Superintendent, Support: Anne Giuliano - HD 46, Support: Blair Koch - HD 43, Support: Darryl Wilson, Support: Elizabeth Pincolini for HD43, Support: Terry Bouck - HD 49, Support: Ryan Arnold for HD 55, Support: Carolyn Pease-Lopez for SD21, Support: Robyn Driscoll for Senate District 25, Support: Kari Boiter - HD 44, Support: Margie MacDonald for SD 26, Support: Kathy Kelker HD 47, Support: MDLCC, Support: David Graves  - SD 22, Support: Kelly McCarthy for HD 49, Support: Yellowstone County Democratic Central Committee, Support: Mary McNally - SD 24, Support: Jen Gross for SD 25",0.0,0,36.0,4,8339.54
McKeon Law of Butte,6341,14,Incidental,05/11/17,NA,Butte,MT,"McKeon Jr., Michael J.","Taylor, Mary C.","Other: Contributions are not earmarked for any specific candidates or ballot issues., Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system.",4200.0,3,624.0,1,-7576.0
Corvallis Community Coalition,6408,2,Ballot Issue,10/06/17,NA,Corvallis,MT,"Wyche, Todd","Hartless, Cheri",Support: Corvallis School District No. 1 building reserve levy election,0.0,0,0.0,0,505.0
Butte - Silver bow Democrats,4420,1,Political Party,06/11/15,NA,Butte,MT,"Harvey, Derek J",,,0.0,0,0.0,0,-1152.24
Community Medical Center Incidental Committee,7550,2,Incidental,11/19/18,NA,Helena,MT,"French, Dean",,Support: Initiative to increase tobacco tax,0.0,0,0.0,0,-266479.9
MTA Hospitality PAC,6919,1,Independent,02/27/18,NA,Helena,MT,"Herriges, Margaret L",,,0.0,0,0.0,0,584.75
Missoulians for Missoula,8014,4,Independent,11/26/19,NA,Missoula,MT,"Wenetta, Katie",,"Support: Alan C. Ault for Missoula City Council, Oppose: Mirtha Becerra for Missoula City Council, Oppose: Alex Michael Fregerio for Missoula City Council, Support: Sandra Vasecka for Missoula City Council, Support: John P. Contos for Missoula City Council, Support: Brent Sperry for Missoula City Council , Oppose: Nick Shontz for Missoula City Council, Oppose: Amber Sherrill for Missoula City Council",1678.39,6,16330.0,18,0.0
Yellowstone County Republican Women,3162,14,Political Party,10/05/18,NA,Billings,MT,"Dugas, Brenda M","Anderson, Pam k","Support: Cary Smith HD27, Support: Sue Vinton HD56, Support: Denise Johnson HD48, Support: Colton Zaugg HD47, Support: Dennis Lentz HD53, Support: Rodney Garcia HD52, Support: Barry Usher HD40, Support: Tom McGilvray HD24, Support: Frank Fleming HD51, Support: Quentin Eggart HD50, Support: Promote Republican party in community and assist candidates in elections, Support: Terry Moore HD54, Support: Donald Jones County Commissioner, Support: Douglas Kary HD22, Support: Dale Mortenson HD44, Support: Colin Nygaard HD49, Support: Vince Ricci HD55, Support: Daniel Zolnikov HD45, Support: Bill Mercer HD46, Support: Peggy Webb HD43",17090.53,41,29243.61,341,11971.24
Citizens for Government Transparency,8424,4,Independent,06/30/20,NA,Miles City,MT,"Matthews, Gary","Brownfield, Keith","Other: to support candidates that advance transparency in government, Support: Nelly Nicol",5920.0,6,191800.0,16,0.0
NorthWestern Energy Montana Employee PAC,370,29,Independent,10/25/16,NA,Helena,MT,"Horvath, George",,"Support: Steve Gunderson for HD 1, Support: Toole County Republican Central Committee, Support: Alan Doane for HD36, Support: Mark Noland for HD 10, Support: Ross Fitzgerald for HD 17, Support: Gordon Pierson for HD 78, Support: Nancy Ballance for HD87, Support: Theresa Manzella for HD 85, Support: Ray Shaw for HD71, Support: Daniel Zolnikov for HD45, Support: Duane Ankney for SD 20, Support: Bob Keenan SD 5, Support: Peggy Webb HD43, Support: Geraldine Custer for HD39, Support: Janet Ellis for SD 41, Support: Bob Brown - HD13, Support: Carl Glimm for HD6, Support: Becky Beard for HD 80, Support: Denley Loge for HD 14, Support: Shane Morgieau for HD95, Support: Derek Skees - HD11, Support: Bill Mercer for HD 46, Support: Frederick Moore for HD 37, Support: Ed Buttrey for HD 21, Support: Patrick Connell for SD 43, Support: Nate McConnell SD 48, Support: Seth Berglee for HD58, Support: Tom Jacobson for SD11, Support: Brian Hoven SD 13, Support: Mark Blasdel SD 4, Support: Dirk Williams for HD89, Support: Beth Baker for MT Supreme Court Justice, Support: Kerry White for HD 64, Support: Kenneth Holmlund HD38, Support: Montana Republican State Central Committee, Support: Forest Mandeville for HD 57, Support: Ingrid Gustafson for MT Supreme Court Justice, Support: Cary Smith - SD27, Support: Jeremy Trebas for HD25, Support: Adam Hertz for HD 96, Support: Greg Hertz for HD 12, Support: Kimberly Dudik for HD94, Support: Dennis Lenz for HD 53, Support: Jacob Bachmeier for HD 28, Support: Fred Anderson HD20, Support: Walt Sales for HD 69, Support: Casey Schreiner for HD26, Support: Ryan Lynch HD 76, Support: Llew Jones for HD 18, Support: Sue Vinton for HD 56, Support: Mike Cuffe for SD 1, Support: Casey Knudsen HD 33, Support: Wendy McKamey for HD19, Support: Barry Usher HD 40, Support: Vince Ricci for HD 55, Support: E Wylie Galt HD 30, Support: Brad Hamlett HD 23, Support: Carlie Boland for SD12, Support: David Howard - SD29, Support: Alan Redfield  HD59, Support: Gordan Vance for SD34, Support: Willis Curdy for HD 98, Support: Dan Bartel HD29, Support: Derek Harvey for HD 74, Support: Doug Kary SD 22, Support: Bradley Tschida for HD 97, Support: Mary Caferro HD 81, Support: Matt Regier for HD4, Support: John Esp for SD 30, Support: Jim Keane for HD73, Support: Montana Democratic Party, Support: Tom Welch HD72",24360.0,79,35798.51,194,39944.6
Billings Clinic,8989,1,Incidental,06/25/20,NA,Billings,MT,"Prewitt, Connie",,,1000.0,1,1000.0,1,0.0
Montana Citizens for I-182,5205,11,Ballot Issue,09/01/16,NA,Helena,MT,"Krauss, Jeff","Leow, Matthew B",Support: I-182,0.0,0,0.0,0,3841.69
Washington Corporation,5045,1,Incidental,11/22/16,NA,Missoula,MT,"Halligan, Mike",,Support: Gave money to the Montanans for Research and Cures 2016 ballot initiative,0.0,0,0.0,0,-10000.0
Gallatin County Democrats aka Gallatin County Democratic Central  Cmte,256,21,Political Party,05/28/19,NA,Bozeman,MT,"McCarthy, Hanah",,"Support: Advance values, issues, and candidates representing the Democratic party in all relevant county and local elections. , Support: Seth Mangini for HD 68, Support: Jennifer Blossom for Gallatin County Treasurer, Support: Erin Cox for Gallatin County Auditor, Support: All Democratic candidates: ballot issues which relflect democratic values as decided upon by our Central Cmte., Support: Eric Semerad for Gallatin County Clerk and Recorder, Support: Scott McFarlane for Gallatin County Commissioner, Support: Sam Newville for Senate District 34, Support: Rex Renk for Clerk of the Supreme Court, Support: Denise Albrecht for HD 64, Support: Pat Flowers for Senate District 32, Support: Chris Pope for HD 65, Support: Kris Menicucci for HD 67, Support: Kathleen Williams for US Congress",30947.65,176,47806.2,211,30387.19
Montana Association of Insurance and Financial Advisors PAc,4963,11,Independent,06/29/16,NA,Bozeman,MT,"Rust, Daniel L",,"Support: Walt Sales for HD 69, Support: Bruce Grubbs for HD68, Support: Barry Usher for HD40, Support: Mary Caferro HD 81, Support: Russel Tempel, Support: Matt Rosendale for Auditor, Support: Michael W Houghton HD67, Support: Bruce Grubbs for HD68, Support: Geraldine Custer for HD39, Support: Ray Shaw for HD71, Support: Greg Hertz for HD12, Support: Fred Anderson for HD20, Support: Charles C Brown HD 17, Support: Harry Klock – SD 15, Support: Brian Hoven SD 13, Support: Wendy McKamey for HD19, Support: Steve Fitzpatrick SD 10, Support: Gordon Vance for SD34, Support: Fred Thomas SD44, Support: Matt Regier for HD4, Support: Geraldine Custer for HD39, Support: Geraldine Custer for HD39, Support: Tom Welch HD72, Support: Gilbert B Meyers, Support: Dennis Lenz for HD 53, Support: Daniel Salomon for SD47, Support: Jim Hamilton for HD 61, Support: Julie Dooling for HD 70, Support: Brad Hamlett for HD 23, Support: Vince Ricci for HD 55, Support: Frederick Anderson, Support: Ross Fitzgerald for HD 17, Support: Wendy McKamey for HD19, Support: Thomas Richmond SD28, Support: Duane Ankney, Support: Dan Bartel - HD29, Support: Tom Welch HD72, Support: Jesse Laslovich – Auditor race, Support: Mike Cuffe",1280.0,10,16218.8,107,19201.98
National Alliance for Mental Illness - Helena (NAMI-Helena),4819,1,Incidental,12/14/15,NA,Helena,MT,"Noel, Mary",,Support: Support Advocates for Smarter Public Safety,0.0,0,0.0,0,-5000.0
Phillips County Republican Club,306,1,Political Party,04/05/17,NA,Malta,MT,"Lund, Logan",,,0.0,0,0.0,0,703.71
Montana Primary Care Association,7054,11,Incidental,11/21/18,NA,Helena,MT,"Stergar, Cindy",,Support: I-185,0.0,0,0.0,0,-39331.75
Good Jobs Montana,5094,14,Independent,02/06/17,NA,Billings,MT,"McCulloch, Scott C",,"Other: Making Independent Expenditures in Montnana Elections, Support: Steve Bullock, Oppose: Greg Gianforte",0.0,0,0.0,0,0.0
Montana Values Action Fund ,9000,1,Independent,06/30/20,NA,Missoula ,MT,"Stranahan, Mary ",,Support: The purpose of Montana Values Action Fund is to support grassroots organizations who are doing work in the 2020 election cycle.,0.0,0,340500.0,7,340500.0
Gun Owners Political Action Committee a.k.a. Go PAC,5560,1,Independent,06/07/16,NA,Missoula,MT,"Marbut, Gary",,"Other: Support  JC Kantorowicz and Dale Stewart, Oppose Jeff Welborn and Steve Fitzpatrick",0.0,0,0.0,0,-2730.34
Families For Public Safety,8419,4,Ballot Issue,03/30/20,NA,Toston,MT,"Rauser, John","Swanson, Cory",Support: Broadwater County Public Safety Mill Levy,1585.4,2,1630.0,5,44.6
Truth Matters,2823,8,Independent,12/19/17,NA,Trout Creek,MT,"Leivestad, Russlyn A.","Marshall, Carolyn L","Oppose: Jennifer Fielder, Other: Promote positive community discourse, oppose the promotion of fear and intolerance, and counter political extremism, conspitacy, theories and misinformation.",0.0,0,0.0,0,0.0
Ballot Initiative Strategy Center,7449,6,Incidental,11/26/18,NA,Washington,DC,"Speed, Greg",,"Oppose: Anti-Trans Bathroom Bill, Support: Revenue, Support: 6 Million Levy",0.0,0,0.0,0,-3148.43
Stop I-186 to Protect Miners and Jobs,7313,17,Ballot Issue,05/21/18,NA,Helena,MT,"Bruce, Vincent A",,Oppose: I-186,20253.62,8,5370.09,4,145154.96
"Jones Construction, Inc.",5384,1,Incidental,05/26/16,NA,Billings,MT,"Jones, Jerry",,,0.0,0,0.0,0,-500.0
Montanans for Death with Dignity,3135,2,Independent,05/16/16,NA,Missoula,MT,"Bentley, Emily B","Grennan, Jessica",Support: To elect candidates to the Montana State Legislature who support the right of Montanans to have aid in dying,0.0,0,0.0,0,38.0
Granite County Republican Central Cmte,269,23,Political Party,08/03/16,NA,Philpsburg,MT,"Hinkle, Heidi A",,Support: To maintain local party,114.0,2,100.0,1,1010.72
SMA Architects,6361,1,Incidental,07/14/17,NA,Helena,MT,"Meldrum, Tim",,Support: Yes for Helena's Future,0.0,0,0.0,0,-500.0
Friends of Connie-Ternes Daniels,6237,1,Independent,07/18/17,NA,Anaconda,MT,"Little, Judie",,"Support: Support Connie Ternes-Daniels for CEO, Anaconda Deer Lodge County",0.0,0,0.0,0,0.0
Montana 55+ Action Fund,7451,7,Independent,05/11/20,NA,Billings,MT,"Sweeney, Patrick","Bachmeier, Jacob D","Support: Diane Sands for SD49, Support: Jessica Karjala for HD 48, Support: Barbara Bassette for HD 24, Support: Anna Drew for HD 58, Support: Mary McNally for SD 24, Other: Purpose of Committee, Support: Andy Shirtliff for PSC # 5, Support: Margaret Gorksi for HD 88, Support: Bryher Herak for HD 75, Support: Laura Dever for HD 22, Support: Lee Bridges for HD 93, Support: Doug Kaercher for PSC #1, Support: Jasmine Krotkov for HD 25, Support: Darryl Wilson for HD 51, Support: Jacob Bachmeier for HD 28, Support: Eldena Bear Don't Walk for HD 92, Support: Amelia Marquez for HD 52, Support: Jade Bahr for HD 50, Support: Paul Tuss for SD 14",2976.86,6,15300.0,8,-1168.68
Dawson County Democratic Central Committee,3561,16,Political Party,05/27/16,NA,Glendive,MT,"Legato, Janette R",,,1775.92,18,1890.0,38,2505.14
Yellowstone County Democratic Central Cmte.,349,26,Political Party,09/25/19,NA,Billings,MT,"Dowling, Kevin",,"Support: Jim Ronquillo, Support: Jennifer Merecki, Support: Danny Choriki, Other: Carmelita Dominguez, Support: Kendra Shaw, Support: Randy Heinz",29533.39,106,35141.9,261,9618.7
Park County Democratic Central Cmte.,5538,17,Political Party,01/13/20,NA,Livingston,MT,"Dargis, Ruth K","Rozier, Rita",,4581.97,31,8885.88,80,7463.96
Business for Fair Tax Policy,7500,4,Ballot Issue,11/25/18,NA,Helena,MT,"Brown, Webb","Mahlum, Bridger",Oppose: I-185: Raise tobacco taxes to fund health care programs,0.0,0,0.0,0,0.0
Mineral County Democratic Central Committee,6340,1,Political Party,05/04/18,NA,Superior,MT,"Ankenman Forest, Linda",,,0.0,0,0.0,0,549.9
Pioneer Medical Center Incidental Committee,7266,1,Incidental,05/10/18,NA,Big Timber,MT,"Hamilton, Gary",,Support: I-185 on 2018 ballot,0.0,0,0.0,0,-600.0
Montana Farm Bureau Federation Pac aka Montana Farm Bureau PAC,2118,27,Independent,01/30/20,NA,Bozeman,MT,"Cone, Rachel S",,"Support: Don Kaltschmidt for SD 3, Support: Walt Sales for HD 69, Support: Dan Salomon for SD 47, Support: Pat Riley for HD 40, Support: Hertha Lund for SD 15, Support: Mike Lang for Senate District 17, Support: Matt Rosendale for State Auditor, Support: Ray Shaw for HD71, Support: Ryan Osmundson for SD 15, Support: Ross Fitzgerald for HD 17, Support: Joel Krautter for HD 35, Support: Don Roberts – SD 26, Support: Geraldine Custer for HD39, Support: John Bedford for HD45, Support: Steve Fitzpatrick for SD10, Support: Sue Vinton for HD 56, Support: Bruce Grubbs for House District 68, Support: Kristen Juras for Supreme Court, Support: Corey Stapleton for Secretary of State, Support: Jason Small for SD 21, Support: Elsie Arntzen for State Superintendent, Support: Steve Gunderson for HD 1, Support: Terry Gauthier for SD40, Support: Scott Rolston for HD 85, Support: Rob Cook for HD18, Support: Tom Richmond for SD 28, Support: Luther Waterland for HD 37, Support: Donna Huston for SD 25, Support: Gordon Pierson for HD 78, Support: Adam Hertz for HD 96, Support: Greg Hertz for HD12, Support: James O'Hara for HD 27, Support: Jon Knokey for HD 65, Support: Wendy McKamey for HD19, Support: Dan Bartel for HD 29, Support: Jeff Welborn for SD 36, Oppose: I-177",2390.0,20,4603.0,43,3802.03
For Our Roads,8437,4,Ballot Issue,06/30/20,NA,Missoula,MT,"Bender, Bruce",,,30000.0,23,72488.19,12,0.0
Caveman Central Committee of Bedrock (Test),8296,2,Political Party,01/21/20,NA,Bedrock,MT,"Wilma, Flinstone",,,61081.26,206,74627.15,295,14944.85
SM Advisory Group Inc,8169,1,Incidental,12/29/19,NA,Bozeman,MT,"Wenetta, Katie","Moore, Stephen",Support: To Support Conservative Candidates and Causes,1000.0,1,0.0,0,-1000.0
Kalispell Chamber of Commerce,5732,1,Ballot Issue,10/12/16,NA,Kalispell,MT,"Herron , Bob","Joe, Unterreiner",Support: Kalispell Public Schools facility bond for elementary and high school districts,0.0,0,0.0,0,-5000.0
"Morrison, Sherwood, Wilson & Deola PLLP",4820,1,Incidental,12/14/15,NA,Helena,MT,"Morrison, John",,Support: Support Carol's List PAC ,0.0,0,0.0,0,-2500.0
MFPE,7934,6,Incidental,05/05/20,NA,Helena,MT,"Burke, Erik",,"Support: Pro Candidate & Ballot Issues, Support: Melissa Romano - State Superintendent, Oppose: LR130, Support: Billings Public Schools Levy, Support: Pro Education, Support: Gardiner School Levy, Support: House District 61 - Brian Close, Support: Public Service, Support: Great Falls School Levy, Support: House Distrtict 68 - Bruce Grubbs, Support: House District 36 - Jim Johnson, Support: House District 6 - Bruce Tutvedt",51409.65,32,0.0,0,-137188.4
Barrett Hospital & HealthCare Incidental Committee for I-185,7539,1,Incidental,09/05/18,NA,Dillon,MT,"Achter, Richard J",,Support: Support Passage of I 185,0.0,0,0.0,0,-50000.0
Butte Silver Bow County Republican Women,332,7,Political Party,04/26/20,NA,Butte,MT,"McCaffery, Marjory J",,,665.17,7,729.0,27,563.99
Montanans Against Higher Taxes,6417,13,Ballot Issue,11/06/18,NA,Three Forks,MT,"Adams, Timothy",,Oppose: LR-128 SB85,0.0,0,0.0,0,0.0
Libertarian Party of Ravalli County,2444,9,Political Party,01/29/18,NA,Corvalis,MT,"Merrick, David A.",,Support: Support all Libertarian Candidates,0.0,0,0.0,0,50.29
Tri County Disposal,6856,1,Incidental,12/05/17,NA,Helena,MT,"Duffy, Dave",,Support: YES for Helena's Future,0.0,0,0.0,0,-200.0
Carbon County Republican Women,1308,9,Political Party,05/07/20,NA,Joliet,MT,"Seymour, Amy",,"Support: Support and educate people about Republican/Conservative values, issues, and candidates",857.56,8,1517.5,6,534.64
Montana Tobacco Tax Exploration Committee,7055,1,Incidental,04/26/18,NA,Missoula,MT,"Pearson, C.B.",,Other: I-185,0.0,0,0.0,0,0.0
Committee To Support Happy Endings,4863,1,Independent,01/06/16,NA,Helena,MT,"Mouse, Mickey","Mouse, Minnie",Support: Support candidates that love happy endings,0.0,0,0.0,0,525.5
Yes 4 EH Kids,6338,1,Ballot Issue,05/21/17,NA,East Helena,MT,"Klock, Trisha M","Goldsberry, Karen","Support: East Helena Elementary Bond, Support: Committe's purpose is to help pass the East Helena Elementary Bond and provide important information to the general public",0.0,0,0.0,0,300.0
The Peoples Voice,1923,2,Disbanded Montana PAC,05/10/16,NA,Helena,MT,"Fenderson, Gene",,,0.0,0,0.0,0,30.0
Committee to Recall the Mayor,8957,1,Independent,06/17/20,NA,Stevensville,MT,"Tadvick, Leslie A",,Other: Recall Mayor Brandon Dewey,812.0,2,1050.0,8,238.0
Citizens for Better Schools,5803,1,Ballot Issue,10/25/16,NA,Great Falls,MT,"Loney, Cleve",,,0.0,0,0.0,0,0.0
Butte-Silver Bow Democrat Central Committe,3988,1,Political Party,04/07/17,NA,Butte,MT,"Heinze, Carol",,,0.0,0,0.0,0,-278.57
First Interstate Bank,5297,1,Incidental,05/03/16,NA,Billings,MT,"Grimm, Staci",,Support: I-181,0.0,0,0.0,0,-20000.0
Park County Environmental Council,7244,9,Incidental,11/26/18,NA,Livingston,MT,"King, Nelson",,Support: I-186,0.0,0,0.0,0,-5635.21
Montana Rural Voters  Action Fund,5040,14,Independent,04/30/18,NA,Billings,MT,"Keogh, Connie","Haight, Adam","Oppose: HD 44 - Dale Mortensen, Support: Secretary of State - Monica J. Lindeen, Support: HD 52 - Chris Goodridge, Oppose: HD 48 - Robert Saunders, Support: HD 60 - Laurie Bishop, Support: SD 26 - Margie MacDonald , Oppose: HD 96 - Adam Hertz, Oppose: SD 21 - Jason D. Small, Oppose: HD 92 - Mike Hopkins, Oppose: SD 47 - Daniel R. Salomon, Oppose: HD 43 - Peggy Webb, Oppose: SD 26 - Donald Roberts, Oppose: SD 40 - Terry J. Gauthier, Support: HD 92 - Addrien Marx, Support: SD 21 - Carolyn Pease-Lopez, Support: HD 43 - Elizabeth Pincolini , Support: Supreme Court Justice #3 - Dirk Sandefur , Support: HD 49 - Kelly McCarthy, Oppose: Superintendent of Public Instruction - Elsie Arntzen , Oppose: HD 28 - Stephanie Hess, Support: HD 47 - Kathy Kelker, Oppose: Governor and Lt. Governor - Greg Gianforte and Lesley Robinson, Support: HD 84 - Mary Ann Dunwell, Oppose: HD 52 - Jimmy Patelis, Support: To influence the election or appointment of candidates and officials who seek to protect Montana's air, water, natural resources and family agriclture., Support: HD 55 - Ryan Arnold, Support: HD 50 - Virginia Court, Oppose: HD 49 - Benjamin Hunter, Oppose: State Auditor - Matt Rosendale , Support: HD 51 - Shoots Veis, Support: HD 44 - Kari Boiter, Oppose: HD 47 - Jason Lee Thomas, Oppose: SD 25 - Donna Huston, Support: Superintendent of Public Instruction - Melissa Romano , Oppose: HD 60 - Debra Lamm, Support: HD 48 - Jessica L. Karjala, Support: SD 40 - Hal Jacobson, Support: SD 47 - Tom France , Oppose: Park County Commissioner District 2 - Tim Henson, Oppose: Park County Commissioner District 2 - Tim Henson, Support: State Auditor - Jesse Laslovich, Support: HD - 38 Steve Muggli, Support: Governor and Lt. Governor - Steve Bullock and Mike Cooney, Oppose: HD 55 - Vince Ricci, Support: Park County Commissioner District 2 - Bill Berg, Support: HD 96 - Andrew Person, Support: HD 28 - Jacob Bachmeier, Support: SD 25 - Jen Gross, Oppose: HD 38 - Kenneth L. Holmlund, Oppose: Secretary of State - Corey Stapleton, Oppose: Supreme Court Justice #3 - Kristen Juras, Oppose: HD 51 - Adam Rosendale , Oppose: HD 50 - Kerri Seekins-Crowe, Oppose: HD 84 - Steve Gibson",0.0,0,0.0,0,4100.66
Ravalli County Republican Women,316,24,Political Party,03/24/20,NA,Corvallis,MT,"Alford, Jane E",,"Support: Work for election of Republican Party and promote it's ideals. Foster loyalty to the Republican Party and it's ideals., Support: Promote principles of freedon, equaltiy and justice on which government of the United States is founded.",2812.24,23,1191.5,90,8354.92
Flathead County Republican Women,255,22,Political Party,03/30/20,NA,Kalispell,MT,"Blum, Barbara O","Roedel, Heidi","Support: To introduce and educate women to the Republican philosphy and to support Republican national, state and local Candidates.",18342.59,51,-5103.41,114,11223.83
Hospital Maintenance Committee,6941,1,Ballot Issue,05/22/18,NA,Townsend,MT,"Marks, Nancy D",,,0.0,0,0.0,0,0.0
MHA IC to support LR-128,7344,1,Incidental,05/25/18,NA,Helena,MT,"Brown, Dick","Luther, Jessie",Support: LR-128,0.0,0,0.0,0,-25000.0
